attribute,start,min,max,name
HP,110,330,424,lickilicky
Attack,85,157,295,lickilicky
Defense,95,175,317,lickilicky
Sp. Atk,80,148,284,lickilicky
Sp. Def,95,175,317,lickilicky
Speed,50,94,218,lickilicky
HP,79,268,362,bibarel
Attack,85,157,295,bibarel
Defense,60,112,240,bibarel
Sp. Atk,55,103,229,bibarel
Sp. Def,60,112,240,bibarel
Speed,71,132,265,bibarel
HP,75,260,354,ambipom
Attack,100,184,328,ambipom
Defense,66,123,254,ambipom
Sp. Atk,60,112,240,ambipom
Sp. Def,66,123,254,ambipom
Speed,115,211,361,ambipom
HP,135,380,474,munchlax
Attack,85,157,295,munchlax
Defense,40,76,196,munchlax
Sp. Atk,40,76,196,munchlax
Sp. Def,85,157,295,munchlax
Speed,5,13,119,munchlax
HP,49,208,302,glameow
Attack,55,103,229,glameow
Defense,42,80,201,glameow
Sp. Atk,42,80,201,glameow
Sp. Def,37,71,190,glameow
Speed,85,157,295,glameow
HP,100,310,404,happiny
Attack,5,13,119,happiny
Defense,5,13,119,happiny
Sp. Atk,15,31,141,happiny
Sp. Def,65,121,251,happiny
Speed,30,58,174,happiny
HP,71,252,346,purugly
Attack,82,152,289,purugly
Defense,64,119,249,purugly
Sp. Atk,64,119,249,purugly
Sp. Def,59,110,238,purugly
Speed,112,206,355,purugly
HP,59,228,322,bidoof
Attack,45,85,207,bidoof
Defense,40,76,196,bidoof
Sp. Atk,35,67,185,bidoof
Sp. Def,40,76,196,bidoof
Speed,31,60,177,bidoof
HP,70,250,344,delcatty
Attack,65,121,251,delcatty
Defense,65,121,251,delcatty
Sp. Atk,55,103,229,delcatty
Sp. Def,55,103,229,delcatty
Speed,90,166,306,delcatty
HP,73,256,350,zangoose
Attack,115,211,361,zangoose
Defense,60,112,240,zangoose
Sp. Atk,60,112,240,zangoose
Sp. Def,60,112,240,zangoose
Speed,90,166,306,zangoose
HP,60,230,324,spinda
Attack,60,112,240,spinda
Defense,60,112,240,spinda
Sp. Atk,60,112,240,spinda
Sp. Def,60,112,240,spinda
Speed,60,112,240,spinda
HP,60,230,324,kecleon
Attack,90,166,306,kecleon
Defense,70,130,262,kecleon
Sp. Atk,60,112,240,kecleon
Sp. Def,120,220,372,kecleon
Speed,40,76,196,kecleon
HP,50,210,304,skitty
Attack,45,85,207,skitty
Defense,45,85,207,skitty
Sp. Atk,35,67,185,skitty
Sp. Def,35,67,185,skitty
Speed,50,94,218,skitty
HP,104,318,412,exploud
Attack,91,168,309,exploud
Defense,63,117,247,exploud
Sp. Atk,91,168,309,exploud
Sp. Def,73,135,269,exploud
Speed,68,126,258,exploud
HP,55,220,314,buneary
Attack,66,123,254,buneary
Defense,44,83,205,buneary
Sp. Atk,44,83,205,buneary
Sp. Def,56,105,232,buneary
Speed,85,157,295,buneary
HP,84,278,372,loudred
Attack,71,132,265,loudred
Defense,43,81,203,loudred
Sp. Atk,71,132,265,loudred
Sp. Def,43,81,203,loudred
Speed,48,90,214,loudred
HP,150,410,504,slaking
Attack,160,292,460,slaking
Defense,100,184,328,slaking
Sp. Atk,95,175,317,slaking
Sp. Def,65,121,251,slaking
Speed,100,184,328,slaking
HP,255,620,714,blissey
Attack,10,22,130,blissey
Defense,10,22,130,blissey
Sp. Atk,75,139,273,blissey
Sp. Def,135,247,405,blissey
Speed,55,103,229,blissey
HP,60,230,324,slakoth
Attack,60,112,240,slakoth
Defense,60,112,240,slakoth
Sp. Atk,35,67,185,slakoth
Sp. Def,35,67,185,slakoth
HP,80,270,364,vigoroth
Attack,80,148,284,vigoroth
Defense,80,148,284,vigoroth
Sp. Atk,55,103,229,vigoroth
Sp. Def,55,103,229,vigoroth
Speed,90,166,306,vigoroth
HP,55,220,314,smeargle
Attack,20,40,152,smeargle
Defense,35,67,185,smeargle
Sp. Atk,20,40,152,smeargle
Sp. Def,45,85,207,smeargle
Speed,75,139,273,smeargle
Speed,30,58,174,slakoth
HP,64,238,332,whismur
Attack,51,96,221,whismur
Defense,23,45,159,whismur
Sp. Atk,51,96,221,whismur
Sp. Def,23,45,159,whismur
Speed,28,54,170,whismur
HP,95,300,394,miltank
Attack,80,148,284,miltank
Defense,105,193,339,miltank
Sp. Atk,40,76,196,miltank
Sp. Def,70,130,262,miltank
Speed,100,184,328,miltank
HP,85,280,374,porygon2
Attack,80,148,284,porygon2
Defense,90,166,306,porygon2
Sp. Atk,105,193,339,porygon2
Sp. Def,95,175,317,porygon2
Speed,60,112,240,porygon2
HP,73,256,350,stantler
Attack,95,175,317,stantler
Defense,62,116,245,stantler
Sp. Atk,85,157,295,stantler
Sp. Def,65,121,251,stantler
Speed,85,157,295,stantler
HP,60,230,324,kubfu
Attack,90,166,306,kubfu
Defense,60,112,240,kubfu
Sp. Atk,53,99,225,kubfu
Sp. Def,50,94,218,kubfu
Speed,72,134,267,kubfu
HP,65,240,334,falinks
Attack,100,184,328,falinks
Defense,100,184,328,falinks
Sp. Atk,70,130,262,falinks
Sp. Def,60,112,240,falinks
Speed,75,139,273,falinks
HP,90,290,384,ursaring
Attack,130,238,394,ursaring
Defense,75,139,273,ursaring
Sp. Atk,75,139,273,ursaring
Sp. Def,75,139,273,ursaring
Speed,55,103,229,ursaring
HP,55,220,314,aipom
Attack,70,130,262,aipom
Defense,55,103,229,aipom
Sp. Atk,40,76,196,aipom
Sp. Def,55,103,229,aipom
Speed,85,157,295,aipom
HP,100,310,404,dunsparce
HP,60,230,324,teddiursa
Attack,70,130,262,dunsparce
Defense,70,130,262,dunsparce
Sp. Atk,65,121,251,dunsparce
Sp. Def,65,121,251,dunsparce
Speed,45,85,207,dunsparce
Attack,80,148,284,teddiursa
Defense,50,94,218,teddiursa
Sp. Atk,50,94,218,teddiursa
Sp. Def,50,94,218,teddiursa
Speed,40,76,196,teddiursa
HP,120,350,444,bewear
Attack,125,229,383,bewear
Defense,80,148,284,bewear
Sp. Atk,55,103,229,bewear
Sp. Def,60,112,240,bewear
Speed,60,112,240,bewear
HP,80,270,364,grapploct
Attack,118,216,368,grapploct
Defense,90,166,306,grapploct
Sp. Atk,70,130,262,grapploct
Sp. Def,80,148,284,grapploct
Speed,42,80,201,grapploct
HP,62,234,328,sirfetchd
Attack,135,247,405,sirfetchd
Defense,95,175,317,sirfetchd
Sp. Atk,68,126,258,sirfetchd
Sp. Def,82,152,289,sirfetchd
Speed,65,121,251,sirfetchd
HP,47,204,298,crabrawler
Attack,82,152,289,crabrawler
Defense,57,107,234,crabrawler
Sp. Atk,42,80,201,crabrawler
Sp. Def,47,89,212,crabrawler
Speed,63,117,247,crabrawler
HP,50,210,304,clobbopus
Attack,68,126,258,clobbopus
Defense,60,112,240,clobbopus
Sp. Atk,50,94,218,clobbopus
Sp. Def,50,94,218,clobbopus
Speed,32,62,179,clobbopus
HP,70,250,344,stufful
Attack,75,139,273,stufful
Defense,50,94,218,stufful
Sp. Atk,45,85,207,stufful
Sp. Def,50,94,218,stufful
Speed,50,94,218,stufful
HP,67,244,338,pancham
Attack,82,152,289,pancham
Defense,62,116,245,pancham
Sp. Atk,46,87,210,pancham
Sp. Def,48,90,214,pancham
Speed,43,81,203,pancham
HP,100,310,404,passimian
Attack,120,220,372,passimian
Defense,90,166,306,passimian
Sp. Atk,40,76,196,passimian
Sp. Def,60,112,240,passimian
Speed,80,148,284,passimian
HP,65,240,334,mienshao
Attack,125,229,383,mienshao
Defense,60,112,240,mienshao
Sp. Atk,95,175,317,mienshao
Sp. Def,60,112,240,mienshao
Speed,105,193,339,mienshao
HP,45,200,294,mienfoo
Attack,85,157,295,mienfoo
Defense,50,94,218,mienfoo
Sp. Atk,55,103,229,mienfoo
Sp. Def,50,94,218,mienfoo
Speed,65,121,251,mienfoo
HP,91,292,386,keldeo
Attack,72,134,267,keldeo
Defense,90,166,306,keldeo
Sp. Atk,129,236,392,keldeo
Sp. Def,90,166,306,keldeo
Speed,108,198,346,keldeo
HP,91,292,386,keldeo
Attack,72,134,267,keldeo
Defense,90,166,306,keldeo
Sp. Atk,129,236,392,keldeo
Sp. Def,90,166,306,keldeo
Speed,108,198,346,keldeo
HP,60,230,324,pachirisu
Attack,45,85,207,pachirisu
Defense,70,130,262,pachirisu
Sp. Atk,45,85,207,pachirisu
Sp. Def,90,166,306,pachirisu
Speed,95,175,317,pachirisu
HP,75,260,354,zebstrika
Attack,100,184,328,zebstrika
Defense,63,117,247,zebstrika
Sp. Atk,80,148,284,zebstrika
Sp. Def,63,117,247,zebstrika
Speed,116,213,364,zebstrika
HP,60,230,324,luxio
Attack,85,157,295,luxio
Defense,49,92,216,luxio
Sp. Atk,60,112,240,luxio
Sp. Def,49,92,216,luxio
Speed,60,112,240,luxio
HP,45,200,294,shinx
Attack,65,121,251,shinx
Defense,34,65,183,shinx
Sp. Atk,40,76,196,shinx
Sp. Def,34,65,183,shinx
Speed,45,85,207,shinx
HP,60,230,324,minun
Attack,40,76,196,minun
Defense,50,94,218,minun
Sp. Atk,75,139,273,minun
Sp. Def,85,157,295,minun
Speed,95,175,317,minun
HP,75,260,354,electivire
Attack,123,225,379,electivire
Defense,67,125,256,electivire
Sp. Atk,95,175,317,electivire
Sp. Def,85,157,295,electivire
Speed,95,175,317,electivire
HP,80,270,364,luxray
Attack,120,220,372,luxray
Defense,79,146,282,luxray
Sp. Atk,95,175,317,luxray
Sp. Def,79,146,282,luxray
Speed,70,130,262,luxray
HP,45,200,294,blitzle
Attack,60,112,240,blitzle
Defense,32,62,179,blitzle
Sp. Atk,50,94,218,blitzle
Sp. Def,32,62,179,blitzle
Speed,76,141,276,blitzle
HP,60,230,324,plusle
Attack,50,94,218,plusle
Defense,40,76,196,plusle
Sp. Atk,85,157,295,plusle
Sp. Def,75,139,273,plusle
Speed,95,175,317,plusle
HP,40,190,284,electrike
Attack,45,85,207,electrike
Defense,40,76,196,electrike
Sp. Atk,65,121,251,electrike
Sp. Def,40,76,196,electrike
Speed,65,121,251,electrike
HP,90,290,384,raikou
Attack,85,157,295,raikou
Defense,75,139,273,raikou
Sp. Atk,115,211,361,raikou
Sp. Def,100,184,328,raikou
Speed,115,211,361,raikou
HP,55,220,314,mareep
Attack,40,76,196,mareep
Defense,40,76,196,mareep
Sp. Atk,65,121,251,mareep
Sp. Def,45,85,207,mareep
Speed,35,67,185,mareep
HP,70,250,344,manectric
Attack,75,139,273,manectric
Defense,60,112,240,manectric
Sp. Atk,105,193,339,manectric
Sp. Def,60,112,240,manectric
Speed,105,193,339,manectric
HP,70,250,344,manectric
Attack,75,139,273,manectric
Defense,80,148,284,manectric
Sp. Atk,135,247,405,manectric
Sp. Def,80,148,284,manectric
Speed,135,247,405,manectric
HP,70,250,344,flaaffy
HP,20,150,244,pichu
Attack,40,76,196,pichu
Defense,15,31,141,pichu
Sp. Atk,35,67,185,pichu
Sp. Def,35,67,185,pichu
Speed,60,112,240,pichu
Attack,55,103,229,flaaffy
Defense,55,103,229,flaaffy
Sp. Atk,80,148,284,flaaffy
Sp. Def,60,112,240,flaaffy
Speed,45,85,207,flaaffy
HP,65,240,334,electabuzz
Attack,83,153,291,electabuzz
Defense,57,107,234,electabuzz
Sp. Atk,95,175,317,electabuzz
Sp. Def,85,157,295,electabuzz
Speed,105,193,339,electabuzz
HP,45,200,294,elekid
Attack,63,117,247,elekid
Defense,37,71,190,elekid
Sp. Atk,65,121,251,elekid
Sp. Def,55,103,229,elekid
Speed,95,175,317,elekid
HP,125,360,454,lanturn
Attack,58,108,236,lanturn
Defense,58,108,236,lanturn
Sp. Atk,76,141,276,lanturn
Sp. Def,76,141,276,lanturn
Speed,67,125,256,lanturn
HP,65,240,334,jolteon
Attack,65,121,251,jolteon
Defense,60,112,240,jolteon
Sp. Atk,110,202,350,jolteon
Sp. Def,95,175,317,jolteon
Speed,130,238,394,jolteon
HP,60,230,324,electrode
Attack,50,94,218,electrode
Defense,70,130,262,electrode
Sp. Atk,80,148,284,electrode
Sp. Def,80,148,284,electrode
Speed,150,274,438,electrode
HP,75,260,354,chinchou
Attack,38,72,192,chinchou
Defense,38,72,192,chinchou
Sp. Atk,56,105,232,chinchou
Sp. Def,56,105,232,chinchou
HP,72,254,348,tsareena
HP,35,180,274,pikachu
Speed,67,125,256,chinchou
Attack,120,220,372,tsareena
Defense,98,180,324,tsareena
Sp. Atk,50,94,218,tsareena
Sp. Def,98,180,324,tsareena
Speed,72,134,267,tsareena
Attack,55,103,229,pikachu
Defense,40,76,196,pikachu
Sp. Atk,50,94,218,pikachu
Sp. Def,50,94,218,pikachu
Speed,90,166,306,pikachu
HP,45,200,294,pikachu
Attack,80,148,284,pikachu
Defense,50,94,218,pikachu
Sp. Atk,75,139,273,pikachu
Sp. Def,60,112,240,pikachu
Speed,120,220,372,pikachu
HP,50,210,304,grookey
Attack,65,121,251,grookey
Defense,50,94,218,grookey
Sp. Atk,40,76,196,grookey
Sp. Def,40,76,196,grookey
Speed,65,121,251,grookey
HP,52,214,308,steenee
Attack,40,76,196,steenee
Defense,48,90,214,steenee
Sp. Atk,40,76,196,steenee
Sp. Def,48,90,214,steenee
Speed,62,116,245,steenee
HP,70,250,344,lurantis
Attack,105,193,339,lurantis
Defense,90,166,306,lurantis
Sp. Atk,80,148,284,lurantis
Sp. Def,90,166,306,lurantis
Speed,45,85,207,lurantis
HP,40,190,284,fomantis
Attack,55,103,229,fomantis
Defense,35,67,185,fomantis
Sp. Atk,50,94,218,fomantis
Sp. Def,35,67,185,fomantis
Speed,35,67,185,fomantis
HP,123,356,450,gogoat
HP,40,190,284,voltorb
Attack,30,58,174,voltorb
HP,42,194,288,bounsweet
Attack,30,58,174,bounsweet
Defense,38,72,192,bounsweet
Sp. Atk,30,58,174,bounsweet
Sp. Def,38,72,192,bounsweet
Speed,32,62,179,bounsweet
Attack,100,184,328,gogoat
Defense,62,116,245,gogoat
Sp. Atk,97,179,322,gogoat
Sp. Def,81,150,287,gogoat
Speed,68,126,258,gogoat
Defense,50,94,218,voltorb
Sp. Atk,55,103,229,voltorb
Sp. Def,55,103,229,voltorb
Speed,100,184,328,voltorb
HP,66,242,336,skiddo
Attack,65,121,251,skiddo
Defense,48,90,214,skiddo
Sp. Atk,62,116,245,skiddo
Sp. Def,57,107,234,skiddo
Speed,52,98,223,skiddo
HP,88,286,380,chesnaught
HP,61,232,326,quilladin
HP,56,222,316,chespin
HP,75,260,354,maractus
Attack,86,159,298,maractus
Defense,67,125,256,maractus
Sp. Atk,106,195,342,maractus
Sp. Def,67,125,256,maractus
Speed,60,112,240,maractus
HP,60,230,324,deerling
Attack,60,112,240,deerling
Defense,50,94,218,deerling
Sp. Atk,40,76,196,deerling
Sp. Def,50,94,218,deerling
Speed,75,139,273,deerling
HP,91,292,386,virizion
Attack,90,166,306,virizion
Defense,72,134,267,virizion
Sp. Atk,90,166,306,virizion
Sp. Def,129,236,392,virizion
Speed,108,198,346,virizion
Attack,107,197,344,chesnaught
Defense,122,224,377,chesnaught
Sp. Atk,74,137,271,chesnaught
Sp. Def,75,139,273,chesnaught
Speed,64,119,249,chesnaught
Attack,78,144,280,quilladin
Defense,95,175,317,quilladin
Sp. Atk,56,105,232,quilladin
Sp. Def,58,108,236,quilladin
Speed,57,107,234,quilladin
Attack,61,114,243,chespin
Defense,65,121,251,chespin
Sp. Atk,48,90,214,chespin
Sp. Def,45,85,207,chespin
Speed,38,72,192,chespin
HP,60,230,324,servine
Attack,60,112,240,servine
Defense,75,139,273,servine
Sp. Atk,60,112,240,servine
Sp. Def,75,139,273,servine
Speed,83,153,291,servine
HP,80,270,364,sawsbuck
HP,75,260,354,simisage
HP,70,250,344,lilligant
Attack,60,112,240,lilligant
Defense,75,139,273,lilligant
Sp. Atk,110,202,350,lilligant
Sp. Def,75,139,273,lilligant
Speed,90,166,306,lilligant
HP,45,200,294,petilil
Attack,35,67,185,petilil
Defense,50,94,218,petilil
Sp. Atk,70,130,262,petilil
Sp. Def,50,94,218,petilil
Speed,30,58,174,petilil
HP,50,210,304,pansage
Attack,53,99,225,pansage
Defense,48,90,214,pansage
Sp. Atk,53,99,225,pansage
Sp. Def,48,90,214,pansage
Speed,64,119,249,pansage
Attack,100,184,328,sawsbuck
Defense,70,130,262,sawsbuck
Sp. Atk,60,112,240,sawsbuck
Sp. Def,70,130,262,sawsbuck
Speed,95,175,317,sawsbuck
Attack,98,180,324,simisage
Defense,63,117,247,simisage
Sp. Atk,98,180,324,simisage
Sp. Def,63,117,247,simisage
Speed,101,186,331,simisage
HP,75,260,354,serperior
Attack,75,139,273,serperior
Defense,95,175,317,serperior
Sp. Atk,75,139,273,serperior
Sp. Def,95,175,317,serperior
Speed,113,207,357,serperior
HP,45,200,294,snivy
Attack,45,85,207,snivy
Defense,55,103,229,snivy
Sp. Atk,45,85,207,snivy
Sp. Def,55,103,229,snivy
Speed,63,117,247,snivy
HP,65,240,334,leafeon
Attack,110,202,350,leafeon
Defense,130,238,394,leafeon
Sp. Atk,60,112,240,leafeon
Sp. Def,65,121,251,leafeon
Speed,95,175,317,leafeon
HP,100,310,404,tangrowth
Attack,100,184,328,tangrowth
Defense,125,229,383,tangrowth
Sp. Atk,110,202,350,tangrowth
Sp. Def,50,94,218,tangrowth
Speed,50,94,218,tangrowth
HP,74,258,352,carnivine
Attack,100,184,328,carnivine
Defense,72,134,267,carnivine
Sp. Atk,90,166,306,carnivine
Sp. Def,72,134,267,carnivine
Speed,46,87,210,carnivine
HP,70,250,344,cherrim
Attack,60,112,240,cherrim
Defense,70,130,262,cherrim
Sp. Atk,87,161,300,cherrim
Sp. Def,78,144,280,cherrim
Speed,85,157,295,cherrim
HP,45,200,294,cherubi
Attack,35,67,185,cherubi
Defense,45,85,207,cherubi
Sp. Atk,62,116,245,cherubi
HP,75,260,354,grotle
Attack,89,164,304,grotle
Defense,85,157,295,grotle
Sp. Atk,55,103,229,grotle
Sp. Def,65,121,251,grotle
Speed,36,69,188,grotle
Sp. Def,53,99,225,cherubi
Speed,35,67,185,cherubi
HP,55,220,314,turtwig
Attack,68,126,258,turtwig
Defense,64,119,249,turtwig
Sp. Atk,45,85,207,turtwig
Sp. Def,55,103,229,turtwig
Speed,31,60,177,turtwig
HP,50,210,304,cacnea
Attack,85,157,295,cacnea
Defense,40,76,196,cacnea
Sp. Atk,85,157,295,cacnea
Sp. Def,40,76,196,cacnea
Speed,35,67,185,cacnea
HP,40,190,284,seedot
Attack,40,76,196,seedot
Defense,50,94,218,seedot
Sp. Atk,30,58,174,seedot
Sp. Def,30,58,174,seedot
Speed,30,58,174,seedot
HP,100,310,404,glastrier
Attack,145,265,427,glastrier
Defense,130,238,394,glastrier
Sp. Atk,65,121,251,glastrier
Sp. Def,110,202,350,glastrier
Speed,30,58,174,glastrier
HP,60,230,324,shroomish
Attack,40,76,196,shroomish
Defense,60,112,240,shroomish
Sp. Atk,40,76,196,shroomish
Sp. Def,60,112,240,shroomish
Speed,35,67,185,shroomish
HP,80,270,364,ludicolo
Attack,70,130,262,ludicolo
Defense,70,130,262,ludicolo
Sp. Atk,90,166,306,ludicolo
Sp. Def,100,184,328,ludicolo
Speed,70,130,262,ludicolo
HP,40,190,284,lotad
Attack,30,58,174,lotad
Defense,30,58,174,lotad
Sp. Atk,40,76,196,lotad
Sp. Def,50,94,218,lotad
Speed,30,58,174,lotad
HP,60,230,324,lombre
Attack,50,94,218,lombre
Defense,50,94,218,lombre
Sp. Atk,60,112,240,lombre
Sp. Def,70,130,262,lombre
Speed,50,94,218,lombre
HP,75,260,354,eiscue
Attack,80,148,284,eiscue
Defense,110,202,350,eiscue
Sp. Atk,65,121,251,eiscue
Sp. Def,90,166,306,eiscue
Speed,50,94,218,eiscue
HP,75,260,354,eiscue
Attack,80,148,284,eiscue
Defense,70,130,262,eiscue
Sp. Atk,65,121,251,eiscue
Sp. Def,50,94,218,eiscue
Speed,130,238,394,eiscue
HP,90,290,384,arctovish
Attack,90,166,306,arctovish
Defense,100,184,328,arctovish
Sp. Atk,80,148,284,arctovish
Sp. Def,90,166,306,arctovish
Speed,55,103,229,arctovish
HP,95,300,394,avalugg
Attack,117,215,366,avalugg
Defense,184,335,513,avalugg
Sp. Atk,44,83,205,avalugg
Sp. Def,46,87,210,avalugg
Speed,28,54,170,avalugg
HP,45,200,294,magby
Attack,75,139,273,magby
Defense,37,71,190,magby
Sp. Atk,70,130,262,magby
Sp. Def,55,103,229,magby
Speed,83,153,291,magby
HP,40,190,284,slugma
Attack,40,76,196,slugma
Defense,40,76,196,slugma
Sp. Atk,70,130,262,slugma
Sp. Def,40,76,196,slugma
Speed,20,40,152,slugma
HP,45,200,294,torchic
Attack,60,112,240,torchic
Defense,40,76,196,torchic
Sp. Atk,70,130,262,torchic
Sp. Def,50,94,218,torchic
Speed,45,85,207,torchic
HP,97,304,398,crabominable
Attack,132,242,399,crabominable
Defense,77,143,278,crabominable
Sp. Atk,62,116,245,crabominable
Sp. Def,67,125,256,crabominable
Speed,43,81,203,crabominable
HP,90,290,384,arctozolt
Attack,100,184,328,arctozolt
Defense,90,166,306,arctozolt
Sp. Atk,90,166,306,arctozolt
Sp. Def,80,148,284,arctozolt
Speed,55,103,229,arctozolt
HP,55,220,314,bergmite
Attack,69,128,260,bergmite
Defense,85,157,295,bergmite
Sp. Atk,32,62,179,bergmite
Sp. Def,35,67,185,bergmite
Speed,28,54,170,bergmite
HP,115,340,434,entei
Attack,115,211,361,entei
Defense,85,157,295,entei
Sp. Atk,90,166,306,entei
Sp. Def,75,139,273,entei
Speed,100,184,328,entei
HP,90,290,384,arcanine
Attack,110,202,350,arcanine
Defense,80,148,284,arcanine
Sp. Atk,100,184,328,arcanine
Sp. Def,80,148,284,arcanine
Speed,95,175,317,arcanine
HP,78,266,360,typhlosion
Attack,84,155,293,typhlosion
Defense,78,144,280,typhlosion
Sp. Atk,109,200,348,typhlosion
Sp. Def,85,157,295,typhlosion
Speed,100,184,328,typhlosion
HP,58,226,320,quilava
Attack,64,119,249,quilava
Defense,58,108,236,quilava
Sp. Atk,80,148,284,quilava
Sp. Def,65,121,251,quilava
Speed,80,148,284,quilava
HP,65,240,334,magmar
Attack,95,175,317,magmar
Defense,57,107,234,magmar
Sp. Atk,100,184,328,magmar
Sp. Def,85,157,295,magmar
Speed,93,171,313,magmar
HP,39,188,282,cyndaquil
Attack,52,98,223,cyndaquil
Defense,43,81,203,cyndaquil
Sp. Atk,60,112,240,cyndaquil
Sp. Def,50,94,218,cyndaquil
Speed,65,121,251,cyndaquil
HP,65,240,334,flareon
Attack,130,238,394,flareon
Defense,60,112,240,flareon
Sp. Atk,95,175,317,flareon
Sp. Def,110,202,350,flareon
Speed,65,121,251,flareon
HP,65,240,334,poliwhirl
Attack,65,121,251,poliwhirl
Defense,65,121,251,poliwhirl
Sp. Atk,50,94,218,poliwhirl
Sp. Def,50,94,218,poliwhirl
Speed,90,166,306,poliwhirl
HP,80,270,364,golduck
Attack,82,152,289,golduck
Defense,78,144,280,golduck
Sp. Atk,95,175,317,golduck
Sp. Def,80,148,284,golduck
Speed,85,157,295,golduck
HP,40,190,284,poliwag
Attack,50,94,218,poliwag
Defense,40,76,196,poliwag
Sp. Atk,40,76,196,poliwag
Sp. Def,40,76,196,poliwag
Speed,90,166,306,poliwag
HP,79,268,362,blastoise
Attack,83,153,291,blastoise
Defense,100,184,328,blastoise
Sp. Atk,85,157,295,blastoise
Sp. Def,105,193,339,blastoise
Speed,78,144,280,blastoise
HP,79,268,362,blastoise
Attack,103,189,335,blastoise
Defense,120,220,372,blastoise
Sp. Atk,135,247,405,blastoise
Sp. Def,115,211,361,blastoise
HP,50,210,304,psyduck
Attack,52,98,223,psyduck
Defense,48,90,214,psyduck
Sp. Atk,65,121,251,psyduck
Sp. Def,50,94,218,psyduck
Speed,55,103,229,psyduck
HP,39,188,282,charmander
Attack,52,98,223,charmander
Defense,43,81,203,charmander
Sp. Atk,60,112,240,charmander
Sp. Def,50,94,218,charmander
Speed,65,121,251,charmander
HP,58,226,320,charmeleon
Attack,64,119,249,charmeleon
Defense,58,108,236,charmeleon
Sp. Atk,80,148,284,charmeleon
Sp. Def,65,121,251,charmeleon
Speed,80,148,284,charmeleon
Speed,78,144,280,blastoise
HP,65,240,334,porygon
Attack,60,112,240,porygon
Defense,70,130,262,porygon
Sp. Atk,85,157,295,porygon
Sp. Def,75,139,273,porygon
Speed,40,76,196,porygon
HP,48,206,300,ditto
Attack,48,90,214,ditto
Defense,48,90,214,ditto
Sp. Atk,48,90,214,ditto
Sp. Def,48,90,214,ditto
Speed,48,90,214,ditto
HP,85,280,374,furret
Attack,76,141,276,furret
Defense,64,119,249,furret
Sp. Atk,45,85,207,furret
Sp. Def,55,103,229,furret
Speed,90,166,306,furret
HP,59,228,322,wartortle
HP,55,220,314,eevee
Attack,55,103,229,eevee
Defense,50,94,218,eevee
HP,35,180,274,sentret
Attack,46,87,210,sentret
Defense,34,65,183,sentret
Sp. Atk,35,67,185,sentret
Sp. Def,45,85,207,sentret
Speed,20,40,152,sentret
Attack,63,117,247,wartortle
Defense,80,148,284,wartortle
Sp. Atk,65,121,251,wartortle
Sp. Def,80,148,284,wartortle
Speed,58,108,236,wartortle
HP,44,198,292,squirtle
Attack,48,90,214,squirtle
Defense,65,121,251,squirtle
Sp. Atk,50,94,218,squirtle
Sp. Def,64,119,249,squirtle
Speed,43,81,203,squirtle
Sp. Atk,45,85,207,eevee
Sp. Def,65,121,251,eevee
Speed,55,103,229,eevee
HP,65,240,334,eevee
Attack,75,139,273,eevee
Defense,70,130,262,eevee
Sp. Atk,65,121,251,eevee
Sp. Def,85,157,295,eevee
Speed,75,139,273,eevee
HP,160,430,524,snorlax
Attack,110,202,350,snorlax
Defense,65,121,251,snorlax
Sp. Atk,65,121,251,snorlax
Sp. Def,110,202,350,snorlax
Speed,30,58,174,snorlax
HP,75,260,354,tauros
Attack,100,184,328,tauros
Defense,95,175,317,tauros
Sp. Atk,40,76,196,tauros
Sp. Def,70,130,262,tauros
Speed,110,202,350,tauros
HP,68,246,340,salazzle
Attack,64,119,249,salazzle
Defense,60,112,240,salazzle
Sp. Atk,111,204,353,salazzle
Sp. Def,60,112,240,salazzle
Speed,117,215,366,salazzle
HP,250,610,704,chansey
Attack,5,13,119,chansey
Defense,5,13,119,chansey
Sp. Atk,35,67,185,chansey
Sp. Def,105,193,339,chansey
Speed,50,94,218,chansey
HP,67,244,338,poipole
Attack,73,135,269,poipole
Defense,67,125,256,poipole
Sp. Atk,73,135,269,poipole
Sp. Def,67,125,256,poipole
Speed,73,135,269,poipole
HP,75,260,354,toxtricity
Attack,98,180,324,toxtricity
Defense,70,130,262,toxtricity
Sp. Atk,114,209,359,toxtricity
Sp. Def,70,130,262,toxtricity
Speed,75,139,273,toxtricity
HP,75,260,354,toxtricity
Attack,98,180,324,toxtricity
Defense,70,130,262,toxtricity
Sp. Atk,114,209,359,toxtricity
Sp. Def,70,130,262,toxtricity
Speed,75,139,273,toxtricity
HP,105,320,414,kangaskhan
Attack,95,175,317,kangaskhan
Defense,80,148,284,kangaskhan
Sp. Atk,40,76,196,kangaskhan
Sp. Def,80,148,284,kangaskhan
Speed,90,166,306,kangaskhan
HP,105,320,414,kangaskhan
Attack,125,229,383,kangaskhan
Defense,100,184,328,kangaskhan
Sp. Atk,60,112,240,kangaskhan
Sp. Def,100,184,328,kangaskhan
Speed,100,184,328,kangaskhan
HP,40,190,284,toxel
Attack,38,72,192,toxel
Defense,35,67,185,toxel
Sp. Atk,54,101,227,toxel
Sp. Def,35,67,185,toxel
Speed,40,76,196,toxel
HP,90,290,384,lickitung
Attack,55,103,229,lickitung
Defense,75,139,273,lickitung
Sp. Atk,60,112,240,lickitung
Sp. Def,75,139,273,lickitung
Speed,30,58,174,lickitung
HP,48,206,300,salandit
